"","TEHSIL","fertility","elevation","poverty","night_lights","distance_to_lakes_rivers","distance_to_cities","Population","child_population","population_density","radio","electricity","television","mobile_phone","card","antenatal_care","age","mothers_age","school_level","urban_to_rural","fac_number","edu_mode","penta3_in_clinic","penta3_out_clinic","OutreachProportion","TotalOutreachCoverage","TotalClinicsCoverage"
"91","NANKANA SAHAB",8.11338961596814,191.641958670261,0.510087573734377,0.438214987516403,42,13.6407723394701,1060537.29411764,114542.084982,6877273.45426528,0.0210772833723653,0.982497082847141,0.64018691588785,0.82730455075846,0.525423728813559,0.90625,1.99611650485437,28.5072463768116,3.37104825291181,0.360237722439325,33,2,1606,39399,0.960834044628704,0.343969642303887,0.0140210473753152
"92","NAROWAL",16.6730165625105,232.312815338042,0.541772496477747,0.533061981201172,7,9.32532532532533,652602.426189956,75142.007211,9382807.01074304,0.0196592398427261,0.998692810457516,0.750326797385621,0.855643044619423,0.735537190082645,0.959090909090909,2.03418803418803,27.8379096545616,3.50501253132832,0.376212502074594,20,4,2139,20929,0.907274146003121,0.278525964062033,0.0284661014443446
"93","NOORPUR",2.0477020332764,181.438335358445,0.617601187471085,0.869613751769066,15,68.8284760170006,277705.704104405,28201.003866,1214608.47947645,0.0814814814814815,0.888888888888889,0.525925925925926,0.851851851851852,0.708333333333333,0.89247311827957,2.13805970149254,28.5923344947735,3.13618677042802,0.262953687201343,13,2,366,9976,0.964610326822665,0.35374627255831,0.0129782614030014
"94","NOWSHERA VIRKHAN",14.0443908633584,212.703734439834,0.478493864753929,0.487383991479874,0,9.04647302904564,670091.656314388,76280.161504,7999233.95492,0.0333333333333333,0.998336106489185,0.720465890183028,0.903494176372712,0.845070422535211,0.898089171974522,2.17873303167421,27.5881147540984,3.44222539229672,0.373101996412233,25,2,2403,18672,0.885978647686833,0.244781862437731,0.0315022930290203
"95","OKARA",19.566849591749,175.059587020649,0.568265329892113,0.509195029735565,0,15.4284023668639,1343316.02758321,138250.54587,11453118.6897138,0.014207650273224,0.949726775956284,0.590163934426229,0.809419496166484,0.541062801932367,0.775862068965517,1.9375,28.021207177814,3.44279346210996,0.436289874559238,39,2,2011,36698,0.948048257511173,0.265445606518675,0.0145460546817008
"96","PAK PATTAN",12.8062458577214,162.609073359073,0.707766073059898,0.531318664550781,28,19.980231436837,1073376.89490245,119973.702107,7473073.94211741,0.040133779264214,0.913140311804009,0.551224944320713,0.741648106904232,0.684931506849315,0.811158798283262,2.05379746835443,27.8259693417493,3.16822429906542,0.397287657767159,24,2,1606,36300,0.957632037144515,0.302566307136421,0.0133862669217932
"97","PASRUR",17.4602820354137,246.028017241379,0.456745644724686,0.497630993525187,0,9.37741243745532,963302.031424504,110808.640261,9904326.43163889,0.0381679389312977,0.997823721436344,0.764705882352941,0.882480957562568,0.879432624113475,0.822393822393822,2.05124450951684,27.4907088781831,3.4697247706422,0.326480484038496,33,4,4898,22171,0.819055007573239,0.200083675314291,0.0442023292449325
"98","PATTOKI",21.0667206088459,194.680906713165,0.488378332325346,0.513740003108978,0,11.8491717523976,980345.746145994,114164.341415,12328728.512018,0.0157894736842105,0.982894736842105,0.61133069828722,0.820816864295125,0.490322580645161,0.579710144927536,2.13101160862355,27.6317204301075,3.33846153846154,0.396494254961074,25,2,3067,15171,0.83183463099024,0.132887378072385,0.0268647807361417
"99","PHALIA",10.1064090690201,206.086096938776,0.442037656760535,0.60020899772644,10,22.1270753512133,617652.983498006,62415.672818,5672162.23370998,0.0955882352941176,0.996336996336996,0.692307692307692,0.915750915750916,0.711864406779661,0.869918699186992,2.09577464788732,27.6012345679012,3.37264957264957,0.353343351762027,16,2,1691,21762,0.927898349891272,0.348662427519712,0.0270925542200089
"100","PIND DADAN KHAN",5.62930482930411,244.281485468245,0.388930272154582,0.645101994276047,18,29.2502691065662,412356.224725706,41505.995804,3193710.23778217,0.105590062111801,0.985537190082645,0.714876033057851,0.878099173553719,0.404255319148936,0.950354609929078,1.83666666666667,27.9407713498623,3.25776965265082,0.301154990888145,18,2,3415,13461,0.79764162123726,0.324314589717728,0.0822772694365977
"101","PINDI BHATTIAN",8.55763568032172,195.198013656114,0.492068334498219,0.474546000361443,2,19.5301055245189,548791.134523686,58437.506195,4893866.24257096,0.0344827586206897,0.975095785440613,0.488505747126437,0.812260536398467,0.537313432835821,0.773049645390071,2.04255319148936,27.884561891516,3.2703488372093,0.429709434704562,19,2,1271,15742,0.925292423440898,0.269381789624467,0.0217497303146168
