,TEHSIL,OBJECTID,PROVINCE,DISTRICT,SHAPE_Leng,Area_Sq_Km,Shape_Le_1,Shape_Area,id,total_teh_obs,Preschool,Primary,Middle,Matric,Above
67,KHARIAN,331,PUNJAB,GUJRAT,1.765562521,1267.417757,1.765562519,0.121413241,329,1167,0.001713796,0.259640103,0.167095116,0.297343616,0.274207369
68,KHUSHAB,351,PUNJAB,KHUSHAB,3.218074331,2948.082752,3.218074331,0.282120634,348,635,0.003149606,0.348031496,0.157480315,0.266141732,0.22519685
69,KOT ADDU,374,PUNJAB,MUZAFFARGARH,2.809586094,3165.655359,2.809586092,0.297259256,371,551,0.014519056,0.392014519,0.176043557,0.194192377,0.22323049
70,KOT MOMIN,406,PUNJAB,SARGODHA,1.454933777,893.8070359,1.454933776,0.085142475,403,372,0.002688172,0.427419355,0.182795699,0.188172043,0.198924731
71,KOT RADHA KISHAN,345,PUNJAB,KASUR,1.075008566,429.9614686,1.075008564,0.040471378,343,428,0,0.247663551,0.212616822,0.264018692,0.275700935
72,KOTLI SATTIAN,399,PUNJAB,RAWALPINDI,1.14164613,368.7174371,1.141646128,0.035773802,396,525,0.001904762,0.257142857,0.219047619,0.28952381,0.232380952
73,LAHORE CANTT,354,PUNJAB,LAHORE,1.896885665,1037.438417,1.850643339,0.097904132,351,2108,0.000948767,0.217267552,0.192125237,0.285578748,0.304079696
74,LAHORE CITY,355,PUNJAB,LAHORE,1.788990137,656.331331,1.788990136,0.06193089,352,3963,0.002018673,0.170577845,0.169316175,0.290688872,0.367398436
75,LALIAN,315,PUNJAB,CHINIOT,2.451112265,983.0416609,2.451112269,0.093358465,313,341,0.002932551,0.407624633,0.129032258,0.202346041,0.258064516
76,LAYYAH,358,PUNJAB,LAYYAH,2.083398146,2022.488508,2.083398145,0.190730582,355,679,0.016200295,0.324005891,0.195876289,0.192930781,0.270986745
77,LIAQAT PUR,389,PUNJAB,RAHIM YAR KHAN,4.522301985,4644.395227,4.522301981,0.42783275,386,573,0.006980803,0.376963351,0.20069808,0.204188482,0.211169284
78,LODHRAN,361,PUNJAB,LODHRAN,1.886046316,1142.963953,1.886046313,0.106353192,358,416,0,0.336538462,0.216346154,0.213942308,0.233173077
79,MAILSI,423,PUNJAB,VEHARI,2.743828003,1600.701712,2.743828008,0.149272386,419,512,0.005859375,0.328125,0.177734375,0.255859375,0.232421875
80,MALAKWAL,362,PUNJAB,MANDI BAHAUDDIN,1.4936461,749.1371911,1.493646097,0.071601917,359,458,0.002183406,0.296943231,0.200873362,0.23580786,0.26419214
81,MANDI BAHAUDDIN,363,PUNJAB,MANDI BAHAUDDIN,1.355416359,878.7703241,1.355416357,0.084060353,360,687,0,0.295487627,0.203784571,0.262008734,0.238719068
82,MANKERA,308,PUNJAB,BHAKKAR,2.753520507,3560.984941,2.753520506,0.337580095,306,248,0,0.467741935,0.137096774,0.217741935,0.177419355
83,MIAN CHANNU,350,PUNJAB,KHANEWAL,1.958708515,1025.931166,1.958306725,0.096137607,553,751,0,0.328894807,0.19840213,0.21171771,0.260985353
84,MIANWALI,366,PUNJAB,MIANWALI,2.777351015,2952.134573,2.777351017,0.283593038,363,419,0,0.250596659,0.178997613,0.279236277,0.291169451
85,MINCHINABAD,298,PUNJAB,BAHAWALNAGAR,2.013803814,1417.679379,2.013803812,0.132189416,296,272,0.011029412,0.444852941,0.165441176,0.176470588,0.202205882
86,MULTAN CITY,369,PUNJAB,MULTAN,0.907674684,285.7653182,0.907674684,0.026751803,366,1377,0.016702977,0.31372549,0.180827887,0.241830065,0.24691358
87,MULTAN SADDAR,370,PUNJAB,MULTAN,3.305778709,1652.517149,3.305778711,0.154616693,367,611,0.001636661,0.289689034,0.191489362,0.250409165,0.266775777
88,MURIDKE,412,PUNJAB,SHEIKHUPURA,1.941678065,949.5785871,1.941678064,0.089976235,409,696,0.004310345,0.284482759,0.232758621,0.261494253,0.216954023
89,MURREE,400,PUNJAB,RAWALPINDI,1.167401369,384.9036345,1.167401367,0.037383407,397,441,0,0.222222222,0.210884354,0.278911565,0.287981859
90,MUZAFFARGARH,375,PUNJAB,MUZAFFARGARH,3.875695969,2232.418571,3.875695966,0.208819362,372,604,0.001655629,0.309602649,0.200331126,0.236754967,0.251655629
91,NANKANA SAHAB,376,PUNJAB,NANKANA SAHIB,2.811824144,1633.876011,2.811824141,0.154208976,373,601,0,0.326123128,0.198003328,0.254575707,0.221297837
92,NAROWAL,380,PUNJAB,NAROWAL,1.413114762,732.9301316,1.413114767,0.069553005,377,798,0,0.236842105,0.238095238,0.308270677,0.21679198
93,NOORPUR,352,PUNJAB,KHUSHAB,2.357705293,2401.751618,2.357705294,0.228638042,349,257,0.003891051,0.435797665,0.13618677,0.26848249,0.155642023
94,NOWSHERA VIRKHAN,328,PUNJAB,GUJRANWALA,1.526202241,881.9196452,1.526202235,0.083769478,326,701,0,0.282453638,0.218259629,0.273894437,0.225392297
95,OKARA,384,PUNJAB,OKARA,2.198112709,1248.680945,2.198112706,0.117288231,381,673,0,0.310549777,0.194650817,0.236255572,0.258543834
96,PAK PATTAN,387,PUNJAB,PAK PATTAN,2.409550206,1536.439339,2.409550205,0.143632581,384,535,0.01682243,0.396261682,0.194392523,0.186915888,0.205607477
97,PASRUR,416,PUNJAB,SIALKOT,1.818256158,1022.206276,1.898750363,0.097260731,413,1090,0.000917431,0.268807339,0.220183486,0.279816514,0.230275229
98,PATTOKI,346,PUNJAB,KASUR,1.452080899,844.6348954,1.452080896,0.079517182,344,585,0.001709402,0.321367521,0.225641026,0.239316239,0.211965812
99,PHALIA,364,PUNJAB,MANDI BAHAUDDIN,1.909460334,1140.882815,1.90946034,0.108891981,361,585,0.001709402,0.343589744,0.179487179,0.230769231,0.244444444
100,PIND DADAN KHAN,341,PUNJAB,JHELUM,2.225782844,1347.723501,2.225782845,0.129115103,339,547,0.012797075,0.372943327,0.151736746,0.268738574,0.193784278
101,PINDI BHATTIAN,334,PUNJAB,HAFIZABAD,1.586322972,1179.651342,1.586322972,0.112138564,332,344,0.011627907,0.369186047,0.162790698,0.25,0.206395349
102,PINDI GHEB,293,PUNJAB,ATTOCK,2.347844041,1544.914766,2.34784404,0.149286317,291,426,0,0.255868545,0.164319249,0.286384977,0.29342723
103,PIPLAN,367,PUNJAB,MIANWALI,1.648383419,1197.120733,1.648383418,0.114576015,364,321,0.012461059,0.295950156,0.180685358,0.289719626,0.221183801
104,QAIDABAD,353,PUNJAB,KHUSHAB,1.852782537,1281.146952,1.85278254,0.122537655,350,241,0,0.385892116,0.182572614,0.203319502,0.228215768
105,RAHIM YAR KHAN,390,PUNJAB,RAHIM YAR KHAN,3.196135283,2626.683372,3.196135286,0.242015709,387,729,0.001371742,0.296296296,0.163237311,0.238683128,0.300411523
106,RAJANPUR,394,PUNJAB,RAJANPUR,2.885114138,2718.204275,2.885114139,0.252191747,391,315,0,0.273015873,0.168253968,0.250793651,0.307936508
107,RAWALPINDI,401,PUNJAB,RAWALPINDI,2.730416367,1620.552548,2.73041637,0.156662062,398,568,0,0.198943662,0.153169014,0.309859155,0.338028169
