"","Tehsil","OBJECTID","PROVINCE","DISTRICT","TEHSIL","SHAPE_Leng","Area_Sq_Km","Shape_Le_1","Shape_Area","id","fertility","elevation","poverty","night_lights","distance_to_lakes_rivers","malaria_instance","Population","child_population","population_density"
"77","MINCHINABAD",298,"PUNJAB","BAHAWALNAGAR","MINCHINABAD",2.01380381391,1417.67937901,2.01380381224,0.132189415974,"296",7.47025761546936,167.1008492569,0.729385124024334,0.705475986003876,0,0,533592.600014619,61534.775079,4036575.81874459
"78","MULTAN CITY",369,"PUNJAB","MULTAN","MULTAN CITY",0.90767468391,285.76531824,0.907674684462,0.0267518025454,"366",138.193267127084,121.638961038961,0.543523379192724,0.488445997238159,0,0,2333742.16012892,226931.399102,87236819.1327804
"79","MULTAN SADDAR",370,"PUNJAB","MULTAN","MULTAN SADDAR",3.3057787094,1652.51714946,3.30577871126,0.154616692887,"367",14.6018256193734,122.296229802513,0.665801326839564,0.536593973636627,9,0,1329632.23632578,152807.733376,8599538.71408653
"80","MURIDKE",412,"PUNJAB","SHEIKHUPURA","MURIDKE",1.94167806466,949.578587079,1.94167806354,0.0899762354387,"409",20.0032375203862,214.1734375,0.466068366913818,0.542065024375916,10,0,719425.141868482,83865.316497,7995723.96378619
"81","MURREE",400,"PUNJAB","RAWALPINDI","MURREE",1.1674013694,384.903634487,1.16740136747,0.0373834065647,"397",12.4441752784392,1273.18784530387,0.414958182694938,0.749710977077484,1,0,271926.897200094,23672.531214,7273999.94244683
"82","MUZAFFARGARH",375,"PUNJAB","MUZAFFARGARH","MUZAFFARGARH",3.87569596861,2232.41857061,3.87569596601,0.208819362273,"372",12.6335808404535,118.248583805398,0.723043560157494,0.6762855052948,39,0,1531316.64854698,194005.513486,7333211.97746505
"83","NANKANA SAHAB",376,"PUNJAB","NANKANA SAHIB","NANKANA SAHAB",2.81182414419,1633.87601116,2.81182414106,0.154208975573,"373",8.11338961596814,191.641958670261,0.510087573734377,0.438214987516403,42,0,1060537.29411764,114542.084982,6877273.45426528
"84","NAROWAL",380,"PUNJAB","NAROWAL","NAROWAL",1.41311476229,732.930131567,1.41311476685,0.0695530053472,"377",16.6730165625105,232.312815338042,0.541772496477747,0.533061981201172,7,0,652602.426189956,75142.007211,9382807.01074304
"85","NOORPUR",352,"PUNJAB","KHUSHAB","NOORPUR",2.35770529337,2401.75161753,2.35770529374,0.228638041638,"349",2.0477020332764,181.438335358445,0.617601187471085,0.869613751769066,15,0,277705.704104405,28201.003866,1214608.47947645
"86","NOWSHERA VIRKHAN",328,"PUNJAB","GUJRANWALA","NOWSHERA VIRKHAN",1.5262022411,881.919645229,1.52620223534,0.0837694784389,"326",14.0443908633584,212.703734439834,0.478493864753929,0.487383991479874,0,0,670091.656314388,76280.161504,7999233.95492
"87","OKARA",384,"PUNJAB","OKARA","OKARA",2.19811270868,1248.68094529,2.19811270634,0.117288230741,"381",19.566849591749,175.059587020649,0.568265329892113,0.509195029735565,0,0,1343316.02758321,138250.54587,11453118.6897138
"88","PAK PATTAN",387,"PUNJAB","PAK PATTAN","PAK PATTAN",2.40955020617,1536.43933886,2.40955020532,0.143632580544,"384",12.8062458577214,162.609073359073,0.707766073059898,0.531318664550781,28,0,1073376.89490245,119973.702107,7473073.94211741
"89","PASRUR",416,"PUNJAB","SIALKOT","PASRUR",1.8182561578,1022.20627572,1.89875036322,0.0972607312646,"413",17.4602820354137,246.028017241379,0.456745644724686,0.497630993525187,0,0,963302.031424504,110808.640261,9904326.43163889
"90","PATTOKI",346,"PUNJAB","KASUR","PATTOKI",1.45208089868,844.634895385,1.45208089605,0.0795171817751,"344",21.0667206088459,194.680906713165,0.488378332325346,0.513740003108978,0,0,980345.746145994,114164.341415,12328728.512018
"91","PHALIA",364,"PUNJAB","MANDI BAHAUDDIN","PHALIA",1.90946033367,1140.8828145,1.90946033998,0.108891981232,"361",10.1064090690201,206.086096938776,0.442037656760535,0.60020899772644,10,0,617652.983498006,62415.672818,5672162.23370998
"92","PIND DADAN KHAN",341,"PUNJAB","JHELUM","PIND DADAN KHAN",2.22578284353,1347.72350099,2.22578284469,0.129115102506,"339",5.62930482930411,244.281485468245,0.388930272154582,0.645101994276047,18,0,412356.224725706,41505.995804,3193710.23778217
"93","PINDI BHATTIAN",334,"PUNJAB","HAFIZABAD","PINDI BHATTIAN",1.58632297249,1179.65134225,1.58632297196,0.112138564342,"332",8.55763568032172,195.198013656114,0.492068334498219,0.474546000361443,2,0,548791.134523686,58437.506195,4893866.24257096
"94","PINDI GHEB",293,"PUNJAB","ATTOCK","PINDI GHEB",2.3478440407,1544.9147662,2.34784403995,0.149286317059,"291",3.57054416414309,396.510697674419,0.399279444782248,0.710567981004715,0,0,307034.400701722,29240.182202,2056681.46117087
"95","PIPLAN",367,"PUNJAB","MIANWALI","PIPLAN",1.64838341894,1197.12073252,1.6483834177,0.114576014895,"364",6.02490063947717,193.235187424426,0.489335154822683,0.70566600561142,11,0,420927.187300743,47236.398382,3673781.00631698
"96","QAIDABAD",353,"PUNJAB","KHUSHAB","QAIDABAD",1.85278253678,1281.14695243,1.85278254,0.122537654579,"350",4.78123588479705,255.186085972851,0.576316059411111,0.713688015937805,0,0,366878.849719481,37706.640502,2994009.07402675
"97","RAHIM YAR KHAN",390,"PUNJAB","RAHIM YAR KHAN","RAHIM YAR KHAN",3.19613528256,2626.68337158,3.19613528595,0.242015708815,"387",11.4752175669832,82.7374173137762,0.721044888113361,0.652204245328903,0,0,1590154.09017318,192741.880967,6570458.16554293
"98","RAJANPUR",394,"PUNJAB","RAJANPUR","RAJANPUR",2.88511413783,2718.20427458,2.88511413927,0.252191747352,"391",4.29066893828586,109.658503026968,0.729926135892419,0.758986604213715,5,0,615449.027342863,83327.013993,2440401.13843948
"99","RAWALPINDI",401,"PUNJAB","RAWALPINDI","RAWALPINDI",2.73041636703,1620.55254778,2.73041636994,0.156662062439,"398",31.118842559696,442.976527900797,0.394224805517248,0.492376655340195,0,0,3056583.40588149,276227.191952,19510680.2393313
"100","RENALA KHURD",385,"PUNJAB","OKARA","RENALA KHURD",1.29656963822,624.348656984,1.29656963507,0.0586821187878,"382",15.933232054026,184.225385527877,0.513220579846191,0.47333100438118,0,0,537363.1955801,59448.46306,9157188.02729764
"101","ROJHAN",395,"PUNJAB","RAJANPUR","ROJHAN",2.98832848188,2798.61790342,2.98832848577,0.258689808987,"392",2.24384630319378,98.7883995703545,0.800740637981546,0.110846251249313,26,0,318894.922335703,45042.270148,1232730.90495702
"102","SADIQABAD",391,"PUNJAB","RAHIM YAR KHAN","SADIQABAD",3.34690627885,2546.2114612,3.34690627907,0.234187657067,"388",19.0880610716092,76.6768455380966,0.76740565837685,0.62406899034977,5,0,1229232.67321614,155399.09146,5248921.69216442
"103","SAFDARABAD",377,"PUNJAB","NANKANA SAHIB","SAFDARABAD",1.37390316715,604.092262341,1.37390316842,0.0572720991987,"374",28.8126278826641,200.354644149578,0.541944886504957,0.500687003135681,0,0,423227.672847949,44974.255749,7389770.56488888
"104","SAHIWAL",407,"PUNJAB","SARGODHA","SAHIWAL",1.58309796123,759.890241673,1.58309795635,0.0723090025332,"404",8.99808044125809,169.999036608863,0.405094836000533,0.482905000448227,0,0,373318.126954663,40127.891749,5162816.71543259
"105","SAHIWAL_SAHIWAL",404,"PUNJAB","SAHIWAL","SAHIWAL_SAHIWAL",2.47041660401,1644.6217452,2.47041660226,0.154299986255,"401",18.2825812528012,166.991884580703,0.572817092766427,0.464702000220617,3,0,1656303.92872379,169073.057325,10734310.2804075
"106","SAMUNDARI",323,"PUNJAB","FAISALABAD","SAMUNDARI",1.99834499707,869.034385888,1.99834499798,0.0818998719286,"321",17.2607546252719,171.656514382403,0.406523217325078,0.47629751265049,0,0,793660.551774212,81312.723225,9690620.181508
