"","UC","DISTRICT","TEHSIL","fertility","elevation","poverty","distance_to_cities","Population","child_population","population_density","OutreachProportion","TotalOutreachCoverage","TotalClinicsCoverage"
"35","126/15-L","Khanewal","Mian Channu",12.4645946417282,144.10447761194,0.683316963822094,42.8358208955224,41296.9556017995,4396.993456,9291181.00998867,0.916830129462534,0.531499540171251,0.0482147635927707
"36","127/10-R","Khanewal","Jehanian",12.6397777542923,119.264705882353,0.783147992509784,10,18104.4631993354,2001.289103,8586624.39689381,0.950797872340426,0.357269721265254,0.0184880834780621
"37","129 NB","Sargodha","Sillanwali",7.37279917691883,168.692307692308,0.459432638608492,32.0512820512821,11708.4788991582,1247.31902,4565366.94111094,1,0.388032245351314,0
"38","129/16-L","Khanewal","Mian Channu",23.1841917688196,143.325581395349,0.593869117173282,22.4545454545455,22169.990845719,2368.233711,7123593.50730584,1,0.447590959910966,0
"39","129/9.L","Sahiwal","Sahiwal",17.5452390984644,159.435897435897,0.638584970673428,26.4303797468354,46395.4873918652,4730.096444,8375597.2587719,0.99890350877193,0.385192991637868,0.000422824359646397
"40","13/EB","Pakpattan","Arifwala",11.5615150552047,157.81914893617,0.655299037060839,12.9574468085106,52932.7450920351,5680.270949,8151367.27494074,0.894111825828798,0.318118627830266,0.0376742591896385
"41","131 NB","Sargodha","Sillanwali",9.61053469906683,170.744186046512,0.507836518639868,59.0454545454545,15848.6073435077,1683.366474,4961560.0563946,1,0.237025036534023,0
"42","131/16-L","Khanewal","Mian Channu",17.068332847796,141.276595744681,0.588382806866727,24.3723404255319,47836.3044013695,5145.76938,7506651.95346547,1,0.467762898460871,0
"43","133/9.L","Sahiwal","Sahiwal",17.9028767177037,165.481481481481,0.598578961832183,16.1071428571429,18083.7240582137,1845.121488,8706360.92972782,0.966735966735967,0.252015925793608,0.00867151572623168
"44","134/16-L","Khanewal","Mian Channu",9.61544113892775,145.296296296296,0.476036732947385,9.35185185185185,42412.1823975207,4554.846224,10878312.8631804,0.892017326732673,0.632952213580592,0.0766216866249138
"45","135 SB","Sargodha","Sillanwali",12.0158892440796,177.36,0.431846883296967,23.56,14104.0408641895,1500.293928,9183980.82763346,1,0.132640675461029,0
"46","136/10-R","Khanewal","Jehanian",22.6011062421297,121.254545454545,0.765359217470342,12.0909090909091,35375.9893447746,3908.175982,8615186.54247185,0.730170496664196,0.504071466861596,0.186276156281849
"47","137/16-L","Khanewal","Mian Channu",10.309451444729,139.27027027027,0.588050547081071,30.4459459459459,28649.9932241187,3083.345345,5929425.17007837,1,0.318485245771261,0
"48","137/EB","Pakpattan","Arifwala",13.0775906294584,149.939393939394,0.529527121782303,15.7384615384615,39537.1548496264,4148.915628,8613226.54557446,0.847231063017187,0.320806716583343,0.0578464402554488
"49","138 SB","Sargodha","Sillanwali",11.7522378720735,174.095238095238,0.514435070753098,32.75,13353.4056361234,1420.446352,9261158.36973616,0.928057553956835,0.272449571541439,0.0211201218249178
"50","138/9.L","Sahiwal","Sahiwal",16.44901310073,165.361111111111,0.550680835213926,16.7222222222222,20125.4348389798,2053.441656,8460044.63175336,1,0.378876116458797,0
"51","139/10-R","Khanewal","Jehanian",21.43059458556,122.418181818182,0.695395398139954,25.9818181818182,31425.360108758,3472.219938,7901494.28461362,0.847324496809033,0.497088327012538,0.089568058922885
"52","14/8-R","Khanewal","Khanewal",10.6777298083672,139.549019607843,0.558339986146665,9.98039215686275,41065.1461282332,4426.812159,11325514.1757699,0.938080495356037,0.479125818719881,0.0316254665821704
"53","14/8 AR","Khanewal","Mian Channu",13.8838108062744,146.753623188406,0.446195496831621,8.71428571428571,45393.208582813,4848.974795,9933635.39026474,0.890895121014214,0.478245422597624,0.0585690815082902
"54","140/10-R","Khanewal","Jehanian",26.2947947714064,123.771428571429,0.585912365572793,23.1142857142857,27216.0206034276,3007.059408,11087474.7521948,0.925597874224978,0.695031163813974,0.0558685337419845
"55","141/9L","Sahiwal","Sahiwal",15.2000466617378,162.418918918919,0.730292061696181,33,35096.9961778597,3575.482429,6792764.18687662,0.980036297640653,0.30205714094421,0.00615301583404873
"56","142/9.L","Sahiwal","Sahiwal",10.4222375062796,163.47619047619,0.702747035594214,28.031746031746,27341.5817595865,2748.424181,6295422.72548641,0.788951841359773,0.405323169436923,0.108425767048656
"57","147 NB","Sargodha","Sillanwali",5.47194785731179,166.142857142857,0.534516048218523,38,4559.81880796042,489.659584,2193843.0249451,0.997777777777778,0.916963569531603,0.00204223512145123
"58","147/EB","Pakpattan","Arifwala",46.5283023219998,154.796610169492,0.415768979969671,4.6271186440678,57278.9088542246,6010.618362,14158479.6968717,0.990143668559973,0.986088226374736,0.00981596176077432
"59","148/EB","Vehari","Burewala",12.1320875485738,141.512820512821,0.668997550622011,21.7692307692308,16145.648908773,1705.752378,5950516.46981792,1,0.305437065027501,0
"60","149/10-R","Khanewal","Jehanian",9.75630570917713,125.76,0.648931107521057,27.48,20608.198474382,2278.233224,6079872.4324487,1,0.345004186454617,0
"61","15 SB","Sargodha","Bhalwal",13.7004990279675,191.323076923077,0.582177992967459,16.3692307692308,15137.5545932244,1517.38529,3396743.64733058,0.855437665782493,0.425073318062811,0.0718340956106145
"62","15/KB","Pakpattan","Pakpattan",12.7133825648915,160.026785714286,0.786472550383559,20.990990990991,55038.3302383819,6142.578615,7097653.64871782,0.923533778767632,0.202520810553761,0.0167682021599979
"63","15/WB","Vehari","Vehari",22.3473493912641,138.176470588235,0.615333138143315,5.11764705882353,43648.4561459887,4751.39119,18354782.9063674,0.719305331179321,0.374837585199967,0.146272948744513
