"","TEHSIL","X","fertility","elevation","poverty","night_lights","distance_to_lakes_rivers","distance_to_cities","Population","child_population","population_density","radio","electricity","television","mobile_phone","card","antenatal_care","age","mothers_age","school_level","urban_to_rural","penta3_in_clinic","penta3_out_clinic","fac_number","OutreachProportion","TotalOutreachCoverage","TotalClinicsCoverage","teh_obs","edu_mode"
"51","JATOI",51,12.5703086666654,107.604046242775,0.797301949212625,0.685627996921539,5,33.823571945047,684254.359755888,95308.801006,7109926.28041582,0.0612959719789842,0.84965034965035,0.386363636363636,0.715034965034965,0.309352517985612,0.715083798882682,2.08961303462322,27.7533092659446,3.40677966101695,0.410036674548912,2714,5919,14,0.685624927603382,0.0621033937844563,0.0284758592213236,295,2
"52","JHANG",52,10.2483919432994,158.666199943993,0.518708268948811,0.478821240365505,19,25.7605712685522,1437355.47317362,151428.027882,5807243.32921796,0.0288909599254427,0.931966449207829,0.447761194029851,0.776328052190121,0.265573770491803,0.672025723472669,1.9402390438247,28.3454935622318,3.28153846153846,0.33535502861798,4851,72761,43,0.937496778848632,0.480498894542157,0.0320350206487542,650,2
"53","JHELUM",53,11.754995268914,254.892601431981,0.311320248964514,0.627278983592987,26,28.0885167464115,470251.868497465,43637.189716,8090524.56392314,0.129411764705882,0.996638655462185,0.853781512605042,0.92436974789916,0.8125,0.935483870967742,1.93732970027248,28.9,3.59926017262639,0.45984832647576,4610,16208,12,0.778557017965222,0.371426301865108,0.105643833390804,811,4
"54","KABIRWALA",54,11.5776074196935,134.215467143496,0.609282069377831,0.509811997413635,21,18.54850245865,1055374.01711902,113869.162217,6816677.48173688,0.032520325203252,0.921022067363531,0.451800232288037,0.868757259001161,0.437229437229437,0.811926605504587,2.16129032258065,28.2332580887886,3.41242937853107,0.446520709754622,2575,55989,37,0.956031008810874,0.491695898256474,0.022613673007384,708,2
"55","KAHUTA",55,6.26535334275512,749.786713286713,0.397453931015737,0.626815021038055,17,22.1761960326721,222907.847784768,21380.837667,3745560.69360357,0.11353711790393,0.980392156862745,0.814814814814815,0.92156862745098,0.761194029850746,0.925,2.15983606557377,29.1858678955453,3.71534195933457,0.422397194036126,3789,9126,11,0.706620209059233,0.426830797844998,0.177214759263061,541,5
"56","KALLAR KAHAR",56,4.97022743032457,652.177083333333,0.401969758390759,0.59068751335144,0,31.7202432667246,201663.379429625,18409.977316,2525229.1981239,0.0787746170678337,0.925764192139738,0.72707423580786,0.860262008733624,0.5,0.958904109589041,2.02955665024631,28.2327044025157,3.51020408163265,0,875,8393,9,0.905589123867069,0.45589409785452,0.0475285756729066,490,2
"57","KALLAR SAYYEDAN",57,8.872146386897,547.5625,0.473271808428008,NA,8,16.3567073170732,266182.997026331,25499.343355,5845928.31602495,0.205179282868526,0.99403578528827,0.795228628230616,0.916500994035785,0.735849056603774,0.95959595959596,1.98540145985401,28.707756232687,3.50709219858156,0,2953,6014,10,0.670681387309022,0.235849210557054,0.115806903687226,564,4
"58","KALUR KOT",58,3.69959843883136,187.389004581424,0.692787295428478,0.603515684604645,12,48.0387338608913,352736.391888435,39069.739409,2112105.45145124,0.0666666666666667,0.961290322580645,0.481720430107527,0.838709677419355,0.545454545454545,0.771186440677966,1.91349480968858,27.9859813084112,3.32258064516129,0.377358400227881,1268,13731,12,0.915461030735382,0.351448466452708,0.0324547851913214,310,2
"59","KAMALIA",59,13.1003360401554,150.145321831453,0.426588146101172,0.491186007857323,59,16.7905897945659,794717.610744163,81045.712255,7573811.39649929,0.0521472392638037,0.973966309341501,0.633996937212864,0.834609494640122,0.42,0.780487804878049,2.00936768149883,28.4188596491228,3.31123388581952,0.385020384311679,2904,27237,22,0.903652831691052,0.336069598775346,0.0358316303133093,543,2
"60","KAMOKE",60,17.0677250594441,217.852721451441,0.461653907759449,0.620492994785309,0,17.8397435897436,629039.9434782,72326.632075,9728357.27224646,0.0267857142857143,0.998217468805704,0.768270944741533,0.907308377896613,0.617977528089888,0.955801104972376,2.00392927308448,27.2340659340659,3.48613138686131,0.412570456503052,3301,27388,16,0.892437029554563,0.378671026346141,0.0456401729943264,685,4
"61","KAROR LAL ESAN",61,7.74586041525577,154.579979360165,0.782425346048837,0.521723017096519,7,31.7257731958763,578013.580189006,68638.690645,4307403.9653215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6423,22925,18,0.781143519149516,0.333995298927952,0.0935769598697595,NA,NA
"62","KARORPACCA",62,14.5738009155671,121.756558237146,0.718101041934275,0.664416015148163,0,14.5702306079665,557772.793819058,65340.700679,8387827.8631043,0.0500848896434635,0.899067005937235,0.490245971162002,0.867684478371501,0.471186440677966,0.761437908496732,2.04055766793409,28.2030629608622,3.29228998849252,0.396925684909106,1975,29437,14,0.937125939131542,0.450515523924598,0.0302261833662085,869,2
"63","KASUR",63,16.9582945578705,198.435525634386,0.558134469832923,0.536660015583038,15,17.4294385432473,1196462.03287881,138174.490488,8730109.52772427,0.0246360582306831,0.961926091825308,0.508398656215006,0.744107744107744,0.337142857142857,0.728744939271255,1.86547811993517,27.2864038616251,3.31888544891641,0.426555251128754,5809,43596,33,0.882420807610566,0.315514099932839,0.0420410451993271,646,2
"64","KHAIRPUR TAMEWALI",64,7.53952286256847,128.052523171988,0.739989363484912,0.700109004974365,15,26.3374485596708,291672.648054711,33276.460738,4324645.48635024,0.0609037328094303,0.905882352941176,0.484313725490196,0.762745098039216,0.561224489795918,0.848,2.05538461538462,28.0690647482014,3.16115702479339,0.388756637406736,1539,16780,9,0.915988864020962,0.504260357858253,0.0462489088643535,242,2
"65","KHAN PUR",65,6.88688410145731,88.0316797642436,0.730952049375694,0.695508256554604,10,20.4440789473684,1048763.66231431,37125.542943,3712233.28455198,0.0428061831153389,0.945368171021378,0.568883610451306,0.794292508917955,0.549450549450549,0.739495798319328,2.10470409711684,27.5518905872888,3.37639553429027,0.424440484498481,6338,17881,31,0.738304636855362,0.481636053847165,0.170718042015734,627,2
