"","Intercept","fertility","elevation","poverty","distance_to_cities","Population","child_population","population_density"
"142",0.0322873378410684,-0.0165111435420708,-0.0229309736689715,-0.0672163242162383,0.0326410425288742,0.328031382820814,0.26416974193155,2.32851893789714
"143",0.0540367975240313,-0.0020374510032417,0.000863876907219775,-0.0202582982570244,-0.0033402645857936,0.165145306574435,0.164300831656283,2.35411776483143
"144",0.298172705614894,-0.115510021886126,0.00374736007961897,-0.0226442687635779,0.00352498686813015,0.0770695405648114,0.053700572674616,14.8332760569516
"145",0.0956675599514886,-0.00619626727380687,0.00607296199430425,-0.0453555820426863,-0.0143868560668775,0.294662433319231,0.281345434978234,2.92047443424212
"146",-0.0092170382275261,0.00211344907348979,-8.07487985418173e-05,-0.00240104722658245,-0.00171228064731248,0.0252442007298405,0.0244484758237573,0.131403920186475
"147",-0.00547372510727972,4.90776352344345e-05,-2.21085693478761e-06,-6.19764553074998e-05,-6.11019828571745e-05,0.00061157664190575,0.000604452174391796,0.0211019515175611
"148",0.0704544120646009,-0.00918500767525567,-0.00890386849626996,-0.05353102867725,0.0253251595526732,0.405991803448887,0.286008076266602,2.45239883545018
"149",0.369015687786223,-0.150632957569371,-0.00991640769244499,-0.031410470691294,-0.0161634458710362,-0.0280247915815687,0.0151597751554377,17.4708558523162
"150",0.333611080920611,-0.143739447250051,-0.00835564338220757,-0.0310914820657375,-0.0159781139532807,-0.0255656467310926,-0.00495515518748435,15.6968651730415
"151",-0.0229692021392253,6.93149243265529e-05,-7.51263906890418e-06,-7.90140966074733e-05,-7.84732156322353e-05,0.000801643749939545,0.000816219412240805,0.00572898783740499
"152",0.330555211897799,-0.138169352681981,-0.000363983405353639,-0.0353535895360329,-0.00991556599318493,0.0481170623292541,-0.00178689881375281,15.8525715374617
"153",0.379306859384722,-0.145815544952424,-0.00559998185216749,-0.0368970607113939,-0.00789821435702717,-0.0270707652306767,-0.00407403758015076,17.2485342940567
"154",-0.015792397789921,8.87969952738085e-05,-8.56519967724792e-06,-8.5947313121766e-05,-6.64849983390471e-05,0.000882574454309425,0.000868212279235049,0.00909622188129287
"155",0.303530231464794,-0.0986736062949073,-0.00560535958229643,-0.0424557866238878,0.00275128015360237,0.135137103349161,0.108670041930961,13.3390386772697
"156",0.326968417992762,-0.128575825173629,0.00166030705394282,-0.0349716091981492,-0.00321257537845113,0.0749289255011958,0.0113274375122679,15.2564581004137
"157",0.308746227962822,-0.121571978530065,0.00131792878862148,-0.0295932920378219,-0.00983938591585324,0.111989674624314,0.0762380356916526,14.0480748253173
"158",0.115525047231784,-0.0490404036947772,-0.0184768673091292,-0.0465312053630767,-0.0075767108793429,-0.00442712381522076,-0.0300444274967235,6.12003976249904
"159",0.0010764622836095,0.00109761616177159,-0.000109472040115169,-0.0013964486624969,-0.00162023561871203,0.0148530396444066,0.0145699031756403,0.0592166795448675
"160",-0.00976743430459845,0.000893368987862479,5.65916401421137e-05,-0.00119248063526302,-0.000825338297708435,0.00947688824322233,0.00916884625465874,0.0360300782557576
"161",0.0135359403277051,0.00394829348268972,-0.000819816643845552,-0.00583371177993145,-0.00408868867833996,0.0530344380062414,0.0541390895088485,0.431957260583274
"162",0.0229500011760671,0.00161973796626041,-0.000503368166857638,-0.00402112244355974,-0.00388598977593753,0.0340213786938383,0.0335385511624841,0.35261496458995
"163",-0.0140888766079787,8.43555534931043e-05,9.3286861455786e-06,-9.73857872078992e-05,-7.70754640250118e-05,0.000998469453062646,0.000960823835975167,0.00360628965140712
"164",0.348211009707813,-0.139415567266706,-0.00432531301085497,-0.0278641054597607,-0.0130128227001709,0.0386951475620596,0.0107435572664844,16.0640015968028
"165",0.00832858081482679,0.00246856256563602,-7.51384829491242e-05,-0.00746914129381443,-0.00863930725695178,-0.003346818826152,-0.00325645913149379,1.58336841968665
