"","DISTRICT","TEHSIL","X.1","PROVINCE","X","Tehsil","OBJECTID","SHAPE_Leng","Area_Sq_Km","Shape_Le_1","Shape_Area","id","fertility","elevation","poverty","night_lights","distance_to_lakes_rivers","malaria_instance","Population","child_population","population_density","radio","electricity","television","mobile_phone","dtp_boolean","card","school_boolean","antenatal_care","age","mothers_age","dtp_number","school_level","wm_urban","hh_urban","ch_urban","urban_to_rural","distance_to_cities","penta3_in_clinic","penta3_out_clinic","OutreachProportion","TotalOutreachCoverage","TotalClinicsCoverage"
"31","FAISALABAD","SAMUNDARI",31,"PUNJAB",103,"SAMUNDARI",323,1.99834499707,869.034385888,1.99834499798,0.0818998719286,321,17.2607546252719,171.656514382403,0.406523217325078,0.47629751265049,0,0,793660.551774212,81312.723225,9690620.181508,0.0438709677419355,0.996134020618557,0.789948453608247,0.908505154639175,0.785714285714286,0.656716417910448,0.774278215223097,0.895348837209302,2.03171247357294,27.8101487314086,2.57251908396947,3.5683615819209,0.44609375,0.437575757575758,0.415750915750916,0.433140141108891,12.8199492814878,1621,18188,0.918168509263466,0.223679631903018,0.0199353795532655
"32","FAISALABAD","TANDLIANWALA",32,"PUNJAB",115,"TANDLIANWALA",324,2.68567283601,1355.2444941,2.68567283347,0.12751031025,322,11.6673151356323,171.159956474429,0.449577694072962,0.452915668487549,72,0,854768.795213373,87927.525046,6703526.90333426,0.0228187919463087,0.979865771812081,0.612903225806452,0.741935483870968,0.694063926940639,0.569832402234637,0.497164461247637,0.842342342342342,2.01581722319859,28.586011342155,2.65131578947368,3.24714828897338,0.428085106382979,0.393939393939394,0.389728096676737,0.403917532333037,22.8404139433551,2577,21737,0.894011680513285,0.247214964695391,0.0293082285513191
"33","GUJRANWALA","GUJRANWALA",33,"PUNJAB",32,"GUJRANWALA",325,2.07008536976,787.248304336,2.0700853658,0.0748688664227,323,35.9420186939524,221.746031746032,0.4308406999326,0.538593500852585,0,0,1954167.9054167,202554.857639,26101208.67042,0.0487152034261242,0.996264674493063,0.802027748132337,0.894230769230769,0.756818181818182,0.527675276752767,0.773883161512028,0.928952042628774,1.96864576384256,27.5824742268041,2.78378378378378,3.61466666666667,0.423937007874016,0.444673185795162,0.414765906362545,0.427792033343908,4.80859010270775,2955,19639,0.869213065415597,0.0969564503607278,0.014588640501856
"34","GUJRANWALA","KAMOKE",34,"PUNJAB",52,"KAMOKE",327,1.64943777675,681.300449904,1.64943777354,0.0646604484061,325,17.0677250594441,217.852721451441,0.461653907759449,0.620492994785309,0,0,629039.9434782,72326.632075,9728357.27224646,0.0267857142857143,0.998217468805704,0.768270944741533,0.907308377896613,0.833333333333333,0.617977528089888,0.752747252747253,0.955801104972376,2.00392927308448,27.2340659340659,2.82075471698113,3.48613138686131,0.403275332650972,0.418685121107266,0.415750915750916,0.412570456503052,17.8397435897436,1469,10315,0.875339443312967,0.142616899253704,0.0203106374215891
"35","GUJRANWALA","NOWSHERA VIRKHAN",35,"PUNJAB",83,"NOWSHERA VIRKHAN",328,1.5262022411,881.919645229,1.52620223534,0.0837694784389,326,14.0443908633584,212.703734439834,0.478493864753929,0.487383991479874,0,0,670091.656314388,76280.161504,7999233.95492,0.0333333333333333,0.998336106489185,0.720465890183028,0.903494176372712,0.932773109243697,0.845070422535211,0.718237704918033,0.898089171974522,2.17873303167421,27.5881147540984,2.88288288288288,3.44222539229672,0.365853658536585,0.393203883495146,0.360248447204969,0.373101996412233,9.04647302904564,1434,10034,0.874956400418556,0.13154141000965,0.0187991211833604
"36","GUJRANWALA","WAZIRABAD",36,"PUNJAB",119,"WAZIRABAD",329,1.7500991754,1211.96739087,1.75009917712,0.115534829789,327,15.1735453039857,218.612748045701,0.431096008507803,0.615822523832321,12,0,1025299.34334373,105711.397116,8874374.46539909,0.0375146541617819,0.997655334114889,0.827667057444314,0.921453692848769,0.900990099009901,0.803738317757009,0.78408195429472,0.974358974358974,1.93698175787728,27.7549251379039,2.78212290502793,3.58291457286432,0.409252669039146,0.414383561643836,0.41374269005848,0.412459640247154,9.0697534576067,5884,16458,0.736639513024796,0.155688037893778,0.0556609803722803
"37","GUJRAT","GUJRAT",37,"PUNJAB",33,"GUJRAT",330,2.02288037035,1437.93113871,2.02288036826,0.137498586922,328,21.2148947071932,245.656519533232,0.341793599554082,0.540253013372421,12,0,1712431.64934912,170931.21485,12454176.3496126,0.0735009671179884,0.999033816425121,0.770793036750484,0.897584541062802,0.875,0.630434782608696,0.820610687022901,0.941818181818182,1.88591549295775,28.513358778626,2.79279279279279,3.56201550387597,0.374578177727784,0.365079365079365,0.321728691476591,0.353795411427913,7.76837303598577,5131,27532,0.842910938982947,0.161070638994525,0.030017922732853
"38","GUJRAT","KHARIAN",38,"PUNJAB",58,"KHARIAN",331,1.7655625208,1267.41775713,1.76556251931,0.121413241345,329,17.3720437004063,266.914857142857,0.272027804527438,0.602850675582886,0,0,1228494.92753749,118834.551693,10118294.4621887,0.0976645435244161,0.996815286624204,0.835456475583864,0.916135881104034,0.972727272727273,0.776119402985075,0.824734982332155,0.952941176470588,1.9304897314376,28.6367491166078,2.97169811320755,3.58269065981148,0.385390428211587,0.376753507014028,0.382947976878613,0.381697304034743,13.2612921669526,4629,27972,0.858010490475752,0.23538608596146,0.0389533173142999
"39","HAFIZABAD","HAFIZABAD",39,"PUNJAB",34,"HAFIZABAD",333,1.43263955846,1102.35074242,1.43263955855,0.104911761787,331,12.3926948116234,204.44715984148,0.39742749788684,0.549189984798431,10,0,759653.780923654,80533.7246679999,7240882.89038518,0.0403458213256484,0.995677233429395,0.652737752161383,0.837175792507205,0.867088607594937,0.597402597402597,0.676706827309237,0.845360824742268,1.93528183716075,28.1626506024096,2.73333333333333,3.53857566765579,0.464188576609248,0.431693989071038,0.502803738317757,0.466228767999348,16.1327608982826,1177,18391,0.939850776778414,0.228363956538914,0.0146149952066936
"40","HAFIZABAD","PINDI BHATTIAN",40,"PUNJAB",90,"PINDI BHATTIAN",334,1.58632297249,1179.65134225,1.58632297196,0.112138564342,332,8.55763568032172,195.198013656114,0.492068334498219,0.474546000361443,2,0,548791.134523686,58437.506195,4893866.24257096,0.0344827586206897,0.975095785440613,0.488505747126437,0.812260536398467,0.882352941176471,0.537313432835821,0.478442280945758,0.773049645390071,2.04255319148936,27.884561891516,2.66666666666667,3.2703488372093,0.432467532467532,0.405204460966543,0.451456310679612,0.429709434704562,19.5301055245189,997,12637,0.926873991491859,0.216248105417634,0.0170609607582006
