"","OBJECTID","PROVINCE","DISTRICT","TEHSIL","SHAPE_Leng","Area_Sq_Km","Shape_Le_1","Shape_Area","id","penta3_in_clinic","penta3_out_clinic"
"389",392,"PUNJAB","RAJANPUR","DE-EXCLUDED AREA RAJANPUR",4.67638595741,4794.03065535,4.67638595733,0.445137626897,"389",0,140
"390",393,"PUNJAB","RAJANPUR","JAMPUR",2.28883986333,2212.12198695,2.28883986292,0.206002067795,"390",3535,6548
"391",394,"PUNJAB","RAJANPUR","RAJANPUR",2.88511413783,2718.20427458,2.88511413927,0.252191747352,"391",2913,6106
"392",395,"PUNJAB","RAJANPUR","ROJHAN",2.98832848188,2798.61790342,2.98832848577,0.258689808987,"392",797,5233
"393",396,"PUNJAB","RAWALPINDI","GUJAR KHAN",2.32020822593,1480.87761076,2.32020822135,0.142837678932,"393",4196,13240
"394",397,"PUNJAB","RAWALPINDI","KAHUTA",1.30855484875,614.738837862,1.30855484971,0.0595125445879,"394",2008,8165
"395",398,"PUNJAB","RAWALPINDI","KALLAR SAYYEDAN",1.38207650907,471.215128682,1.38207650772,0.0455330586755,"395",2542,4312
"396",399,"PUNJAB","RAWALPINDI","KOTLI SATTIAN",1.1416461299,368.717437104,1.14164612788,0.0357738018149,"396",567,2883
"397",400,"PUNJAB","RAWALPINDI","MURREE",1.1674013694,384.903634487,1.16740136747,0.0373834065647,"397",276,5611
"398",401,"PUNJAB","RAWALPINDI","RAWALPINDI",2.73041636703,1620.55254778,2.73041636994,0.156662062439,"398",4951,27203
"399",402,"PUNJAB","RAWALPINDI","TAXILA",0.896920123457,279.556575039,0.896920125034,0.0271365256772,"399",706,6311
"400",403,"PUNJAB","SAHIWAL","CHICHAWATNI",2.60438483431,1587.54823798,2.60438483507,0.148738680975,"400",1815,29138
"401",404,"PUNJAB","SAHIWAL","SAHIWAL_SAHIWAL",2.47041660401,1644.6217452,2.47041660226,0.154299986255,"401",2313,59592
"402",405,"PUNJAB","SARGODHA","BHALWAL",1.86984630083,1282.58564193,1.86984629344,0.122544463329,"402",3864,24177
"403",406,"PUNJAB","SARGODHA","KOT MOMIN",1.45493377696,893.807035936,1.45493377581,0.085142475251,"403",1934,8743
"404",407,"PUNJAB","SARGODHA","SAHIWAL",1.58309796123,759.890241673,1.58309795635,0.0723090025332,"404",939,12351
"405",408,"PUNJAB","SARGODHA","SARGODHA",2.67225025812,1457.87583697,2.6722502514,0.138883927065,"405",3653,49106
"406",409,"PUNJAB","SARGODHA","SHAHPUR",1.55640045413,788.007613057,1.55640045276,0.0752400384685,"406",1898,11552
"407",410,"PUNJAB","SARGODHA","SILLANWALI",1.76430128771,611.342590105,1.76430128796,0.0580984094791,"407",1318,14777
"408",411,"PUNJAB","SHEIKHUPURA","FEROZEWALA",1.41514857599,459.805425732,1.41514858,0.0435004213713,"408",3592,16285
"409",412,"PUNJAB","SHEIKHUPURA","MURIDKE",1.94167806466,949.578587079,1.94167806354,0.0899762354387,"409",2297,22481
"410",413,"PUNJAB","SHEIKHUPURA","SHARAK PUR",1.04654892947,375.597609276,1.04654892998,0.035484737582,"410",870,4832
"411",414,"PUNJAB","SHEIKHUPURA","SHEIKHUPURA",2.18057511454,1260.02466276,2.1805751113,0.11936723864,"411",3420,45073
"412",415,"PUNJAB","SIALKOT","DASKA",1.76277526185,754.418009897,1.76277525861,0.0718298774709,"412",5783,25574
"413",416,"PUNJAB","SIALKOT","PASRUR",1.8182561578,1022.20627572,1.89875036322,0.0972607312646,"413",4898,22171
"414",417,"PUNJAB","SIALKOT","SAMBRIAL",0.93038272012,361.486892952,0.930382718135,0.0345015695785,"414",2630,12009
"415",418,"PUNJAB","SIALKOT","SIALKOT",1.67129765589,973.159471441,1.98059957331,0.0929130177081,"415",5148,41441
"416",419,"PUNJAB","TOBA TEK SINGH","GOJRA",1.76805820098,691.338835198,1.76805820536,0.0652422067394,"416",2348,20056
"417",421,"PUNJAB","TOBA TEK SINGH","TOBA TEK SINGH",2.28525495695,1270.46165257,2.28525496359,0.119640397247,"417",5233,36252
"418",422,"PUNJAB","VEHARI","BUREWALA",2.32533132057,1501.83236697,2.32533131861,0.140263986149,"418",3835,32408
"419",423,"PUNJAB","VEHARI","MAILSI",2.7438280031,1600.70171242,2.74382800834,0.149272386179,"419",3150,31874
"420",424,"PUNJAB","VEHARI","VEHARI",2.2305024581,1391.50062985,2.2305024555,0.129881336181,"420",2329,24357
"552",420,"PUNJAB","TOBA TEK SINGH","KAMALIA",2.2263451707,1117.0210278,2.2259433776,0.104929680598,"552",1929,22036
"553",350,"PUNJAB","KHANEWAL","MIAN CHANNU",1.95870851483,1025.93116554,1.95830672507,0.0961376073697,"553",4022,38641
