,OBJECTID,PROVINCE,DISTRICT,TEHSIL,SHAPE_Leng,Area_Sq_Km,Shape_Le_1,Shape_Area,id,penta3_in_clinic,penta3_out_clinic,proportion
367,370,PUNJAB,MULTAN,MULTAN SADDAR,3.305778709,1652.517149,3.305778711,0.154616693,367,7773,30078,0.794642149
368,371,PUNJAB,MULTAN,SHUJABAD,1.365443096,837.9264351,1.365443094,0.078180706,368,4396,12184,0.734861279
369,372,PUNJAB,MUZAFFARGARH,ALIPUR,2.114522537,1237.968804,2.114522536,0.114990192,369,2710,5784,0.68095126
370,373,PUNJAB,MUZAFFARGARH,JATOI,1.722912986,1033.167233,1.722912985,0.096239304,370,2601,4155,0.615008881
371,374,PUNJAB,MUZAFFARGARH,KOT ADDU,2.809586094,3165.655359,2.809586092,0.297259256,371,6388,12382,0.659669686
372,375,PUNJAB,MUZAFFARGARH,MUZAFFARGARH,3.875695969,2232.418571,3.875695966,0.208819362,372,9239,22523,0.709117814
373,376,PUNJAB,NANKANA SAHIB,NANKANA SAHAB,2.811824144,1633.876011,2.811824141,0.154208976,373,2543,38462,0.937983173
374,377,PUNJAB,NANKANA SAHIB,SAFDARABAD,1.373903167,604.0922623,1.373903168,0.057272099,374,2927,15394,0.840237978
375,378,PUNJAB,NANKANA SAHIB,SHAH KOT,0.794801492,244.4324169,0.794801491,0.023134306,375,1782,9383,0.840394089
376,379,PUNJAB,NANKANA SAHIB,SHANGLA HILL,0.985367022,302.8779941,0.985367023,0.028717785,376,813,11057,0.931508003
377,380,PUNJAB,NAROWAL,NAROWAL,1.413114762,732.9301316,1.413114767,0.069553005,377,2562,20506,0.888937056
378,381,PUNJAB,NAROWAL,SHAKARGARH,1.885449826,965.5701445,1.885449828,0.091677596,378,4210,21708,0.837564627
379,382,PUNJAB,NAROWAL,ZAFARWAL,1.529210596,641.6228026,1.526527917,0.061028365,379,2901,14680,0.834992321
380,383,PUNJAB,OKARA,DEPALPUR,2.937883462,2560.283077,2.937883461,0.23973558,380,4062,26362,0.866486984
381,384,PUNJAB,OKARA,OKARA,2.198112709,1248.680945,2.198112706,0.117288231,381,2478,36231,0.93598388
382,385,PUNJAB,OKARA,RENALA KHURD,1.296569638,624.348657,1.296569635,0.058682119,382,1977,13874,0.875276008
